year,title,url,time_place,track,description,speakers,speaker_details,files,photos
2018,Voice Is The New Playground For Brands,https://tcsw18.sched.com/event/G7BQ/voice-is-the-new-playground-for-brands,,,,avatar for Chad Gilhoi; avatar for Megan Junius; avatar for Jen Gilhoi; avatar for Peter Hill Design (Host); avatar for Kyle Simmons,"[{""name"": ""avatar for Chad Gilhoi"", ""role"": """", ""company"": ""The Sluice GateAs a digital product manager for a Fortune 500 company and freelance developer, Chad is very active on the voice app frontier.  He’s tracked consumer preferences for voice interaction and is currently navigating opportunities for voice apps in the corporate space. Chad presents...Read More →"", ""avatar_url"": ""//avatars.sched.co/4/c4/5912809/avatar.jpg?9e8""}, {""name"": ""avatar for Megan Junius"", ""role"": """", ""company"": ""Peter Hill DesignMegan leads Peter Hill Design, a full-service and award-winning creative design agency since 1998, as President and Creative Director. With 18 years as a graphic designer and art director, she expertly leads brand and advertising projects for national consumer and B2B clients. She...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/a6/5914775/avatar.jpg?68f""}, {""name"": ""avatar for Jen Gilhoi"", ""role"": """", ""company"": ""Sparktrack ConsultingAs a Twin Cities-based communications strategist for 20 years, Jen has held various marketing roles in agencies, corporations, associations and her own 2012 start-up, SparkTrack Consulting. She lives where in-person and online communications connect through community and conversation...Read More →"", ""avatar_url"": ""//avatars.sched.co/b/b6/5914777/avatar.jpg?01f""}, {""name"": ""avatar for Peter Hill Design (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/5/60/6078589/avatar.jpg?1b8""}, {""name"": ""avatar for Kyle Simmons"", ""role"": """", ""company"": ""Launch & Land"", ""avatar_url"": ""//avatars.sched.co/7/04/8906914/avatar.jpg?410""}]",,
2018,Free Co-working & Team Offices at Spaces,https://tcsw18.sched.com/event/GHNQ/free-co-working-team-offices-at-spaces,,,,,[],,
2018,Free Co-working at Fueled Collective ( All Locations Open During TCSW ),https://tcsw18.sched.com/event/GHNH/free-co-working-at-fueled-collective-all-locations-open-during-tcsw,,,,,[],,
2018,Free Co-working at Glen Nelson Center,https://tcsw18.sched.com/event/GIXK/free-co-working-at-glen-nelson-center,,,,,[],,
2018,Free Co-working at Impact Hub MSP,https://tcsw18.sched.com/event/GHNK/free-co-working-at-impact-hub-msp,,,,,[],,
2018,Free Co-working at Industrious ( Both Locations Open During TCSW ),https://tcsw18.sched.com/event/GHNN/free-co-working-at-industrious-both-locations-open-during-tcsw,,,,,[],,
2018,Free Co-working at UEL,https://tcsw18.sched.com/event/GHNT/free-co-working-at-uel,,,,,[],,
2018,Free Co-working at Wellworth,https://tcsw18.sched.com/event/GHNW/free-co-working-at-wellworth,,,,,[],,
2018,Free Co-working at WeWork,https://tcsw18.sched.com/event/GFaB/free-co-working-at-wework,,,,,[],,
2018,"Hemp, MN, and the Creation of a New Industry - Food Ag Ideas Week *External Registration Required*",https://tcsw18.sched.com/event/GHB8/hemp-mn-and-the-creation-of-a-new-industry-food-ag-ideas-week-external-registration-required,,,,avatar for Jennifer Wagner Lahr; avatar for Charles Levine; avatar for John Strohfus; avatar for Andrea Vaubel,"[{""name"": ""avatar for Jennifer Wagner Lahr"", ""role"": """", ""company"": ""AURI"", ""avatar_url"": ""//avatars.sched.co/5/e6/5974804/avatar.jpg?1fe""}, {""name"": ""avatar for Charles Levine"", ""role"": """", ""company"": ""Hemp Acres LLC & Equichill LL"", ""avatar_url"": ""//avatars.sched.co/6/ab/5974828/avatar.jpg?2c9""}, {""name"": ""avatar for John Strohfus"", ""role"": """", ""company"": ""Minnesota Hemp Farms, Inc."", ""avatar_url"": ""//avatars.sched.co/b/60/5974822/avatar.jpg?41e""}, {""name"": ""avatar for Andrea Vaubel"", ""role"": """", ""company"": ""Minnesota Dept. of Agriculture"", ""avatar_url"": ""//avatars.sched.co/c/83/5974819/avatar.jpg?539""}]",,
2018,Scaling Within: Expand Your Internal Capacity to Sustain External Growth Session 2,https://tcsw18.sched.com/event/G7B3/scaling-within-expand-your-internal-capacity-to-sustain-external-growth-session-2,,,,avatar for Honest Studios (Host); avatar for ActivMedia (Host); avatar for Meredith Kathleen Neumann,"[{""name"": ""avatar for Honest Studios (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/c/2a/6168703/avatar.jpg?07e""}, {""name"": ""avatar for ActivMedia (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/1/34/6168712/avatar.jpg?86c""}, {""name"": ""avatar for Meredith Kathleen Neumann"", ""role"": """", ""company"": ""Scaling WithinCompany culture flows from the top down.  Research shows that the most successful business leaders invest in their own growth as well as their teams, developing their people into assets and improving company culture.  Drawing from her 10 years of experience as a Psychotherapist...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/a8/5958865/avatar.jpg?796""}]",,
2018,"Identifying Growth in Education Thru ""Jobs to be Done""",https://tcsw18.sched.com/event/G7Av/identifying-growth-in-education-thru-jobs-to-be-done,,,,avatar for GoKart Labs (Host); avatar for DeLonn Crosby; avatar for Matt Johson; avatar for Don Smithmier,"[{""name"": ""avatar for GoKart Labs (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/6/2d/6077410/avatar.jpg?693""}, {""name"": ""avatar for DeLonn Crosby"", ""role"": """", ""company"": ""an education technology company that has developed a screen-free, play-based learning platform. SayKid combines voice technology with tangible play to help kids learn in a more active and engaging way - without screens!Visit https://saykid.com to learn more...Read More →"", ""avatar_url"": ""//avatars.sched.co/1/cd/5970106/avatar.jpg?540""}, {""name"": ""avatar for Matt Johson"", ""role"": """", ""company"": ""VP of Strategy, GoKart Labs"", ""avatar_url"": ""//avatars.sched.co/6/b7/5950930/avatar.jpg?aec""}, {""name"": ""avatar for Don Smithmier"", ""role"": """", ""company"": ""GoKart LabsDon Smithmier is Co-founder and CEO of GoKart Labs, where his team works with companies of all sizes to help them crack their digital problems and reach their growth goals. He has founded and/or led several early-stage ventures in education such as Sophia Learning and Capella Education...Read More →"", ""avatar_url"": ""//avatars.sched.co/b/2a/5912789/avatar.jpg?287""}]",,
2018,Panel: The Future of Marketing in the Age of Machine Learning,https://tcsw18.sched.com/event/G7B7/panel-the-future-of-marketing-in-the-age-of-machine-learning,,,,avatar for Cludo (Host); avatar for Phillip Andersen; avatar for Corey Christensen; avatar for Brianna Noland; avatar for Dr. Manjeet Rege; avatar for Matthew Versaggi,"[{""name"": ""avatar for Cludo (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/8/9e/6168820/avatar.jpg?dac""}, {""name"": ""avatar for Phillip Andersen"", ""role"": """", ""company"": ""CludoPhilip Andersen is a Danish technology executive with a track record of developing innovative and widely adopted software platforms. He is currently the Chief Executive Officer of Cludo, an intelligent site search and insights SaaS platform used by organizations worldwide. Philip...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/8a/5914645/avatar.jpg?4c0""}, {""name"": ""avatar for Corey Christensen"", ""role"": """", ""company"": ""CludoCorey Christensen has a breadth of experience in the Data Science and Analytics industry, with companies ranging from Tech Startups to Retail Fortune 100s.  Currently, Corey works for Cludo where he runs the Data Science group, developing Machine Learning and Deep Learning-based...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/e8/5914642/avatar.jpg?259""}, {""name"": ""avatar for Brianna Noland"", ""role"": """", ""company"": ""General MillsBrianna Noland is a Senior Data Scientist on the Enterprise Data Capabilities team at General Mills."", ""avatar_url"": ""//avatars.sched.co/d/22/5914635/avatar.jpg?105""}, {""name"": ""avatar for Dr. Manjeet Rege"", ""role"": """", ""company"": ""Educator & Consultant, The University of St. ThomasManjeet Rege is an Associate Professor of Graduate Programs in Software at the University of St. Thomas. Dr. Rege is an author, mentor, thought leader, and a frequent public speaker on Big Data, Machine Learning, and Artificial Intelligence technologies. He is also the co-host of...Read More →"", ""avatar_url"": ""//avatars.sched.co/9/c5/5914639/avatar.jpg?1d1""}, {""name"": ""avatar for Matthew Versaggi"", ""role"": """", ""company"": ""Optum Technologies (ATC) / United Health GroupMatthew Versaggi is currently the Senior Director of Artificial Intelligence and Machine Learning for Optum Technology (UHG) in the Advanced Technology Division.  Previously he was an Artificial Intelligence Engineer for a military contractor, a CEO of his own company for nearly...Read More →"", ""avatar_url"": ""//avatars.sched.co/f/1a/5912797/avatar.jpg?699""}]",,
2018,"By, For, With: Investing in Diversity",https://tcsw18.sched.com/event/G7B2/by-for-with-investing-in-diversity,,,,avatar for Matthew Versaggi; avatar for Kenya McKnight Ahad; avatar for Susan Hammel; avatar for Julie Lein; avatar for Sara M. Russick; avatar for Danielle Steer,"[{""name"": ""avatar for Matthew Versaggi"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/f/1a/5912797/avatar.jpg?699""}, {""name"": ""avatar for Kenya McKnight Ahad"", ""role"": """", ""company"": ""Black Women’s Wealth AllianceKenya is an experienced executive recognized for innovation in community wealth building strategies, social impact and organizational effectiveness. She brings over 17 years of experience as a community economic development practitioner in the areas of micro business education and...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/07/6091921/avatar.jpg?7fd""}, {""name"": ""avatar for Susan Hammel"", ""role"": """", ""company"": ""Cogent Consulting, Inc.Ever since being told that girls aren’t supposed to be good at math, Susan has been passionate about empowering women through financial acumen. Starting her career working for nonprofit MassPIRG, Susan quickly realized that to change the world she needed to convince those with capital...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/cd/5912794/avatar.jpg?c5c""}, {""name"": ""avatar for Julie Lein"", ""role"": """", ""company"": ""Urban Innovation FundJulie Lein, Managing Partner, Urban Innovation Fund Julie is a co-founder and Managing Partner of the Urban Innovation Fund, a venture capital firm that invests in the future of cities. The fund provides seed capital and regulatory support to entrepreneurs solving our toughest urban...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/93/5920727/avatar.jpg?ad4""}, {""name"": ""avatar for Sara M. Russick"", ""role"": """", ""company"": ""which she cofounded with the mission of creating many more successful women entrepreneurs and investors. The core belief that investing in the growth of the leader alongside the growth of the company to achieve greater results is delivered...Read More →"", ""avatar_url"": ""//avatars.sched.co/9/93/6091972/avatar.jpg?802""}, {""name"": ""avatar for Danielle Steer"", ""role"": """", ""company"": ""Lunar StartupsDanielle Steer is dedicated to helping problem solvers achieve their dreams and is acutely passionate about making the world a more equitable place to thrive, for all. Leveraging her origins as an overscheduled student-athlete, she brings an intense amount of energy, a team first...Read More →"", ""avatar_url"": ""//avatars.sched.co/a/8d/5920724/avatar.jpg?d32""}]",,
2018,Maker to Market Demo Day hosted by the Good Acre and Lakewinds Coop - Food Ag Ideas Week *External Registration Required,https://tcsw18.sched.com/event/G7vC/maker-to-market-demo-day-hosted-by-the-good-acre-and-lakewinds-coop-food-ag-ideas-week-external-registration-required,,,,,[],,
2018,Thrivent Social Reverse Pitch Challenge *External Ticket Required*,https://tcsw18.sched.com/event/G7Bj/thrivent-social-reverse-pitch-challenge-external-ticket-required,,,,avatar for Danielle Steer,"[{""name"": ""avatar for Danielle Steer"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/a/8d/5920724/avatar.jpg?d32""}]",,
2018,Blockchain Isn’t Just For Finance *External Registration Required*,https://tcsw18.sched.com/event/G7BX/blockchain-isnt-just-for-finance-external-registration-required,,,,avatar for Generation.MN (Host); avatar for David Berger,"[{""name"": ""avatar for Generation.MN (Host)"", ""role"": """", ""company"": ""disruptors, and entrepreneurs to develop and create a better future for all.We provide a platform for students to build their ideas. We offer a...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/52/6078445/avatar.jpg?ed3""}, {""name"": ""avatar for David Berger"", ""role"": """", ""company"": ""Integra LedgerDavid Berger is a computer technologist with extensive experience focusing on Mobile/Social content delivery. He has worked with numerous large and small clients including Sun, Oracle, IDG books, Pogo and NBC. David previously founded Scientia, acquired by the Princeton Review, and...Read More →"", ""avatar_url"": ""//avatars.sched.co/5/9b/5912814/avatar.jpg?7fe""}]",,
2018,Tech Start-Ups: Getting the Legal Part Right,https://tcsw18.sched.com/event/G78S/tech-start-ups-getting-the-legal-part-right,,,,"avatar for Avisen Legal, P.A. (Host); avatar for Larry Fox; avatar for David Peteler","[{""name"": ""avatar for Avisen Legal, P.A. (Host)"", ""role"": """", ""company"": ""P.A. (Host)"", ""avatar_url"": ""//avatars.sched.co/b/65/6077965/avatar.jpg?f59""}, {""name"": ""avatar for Larry Fox"", ""role"": """", ""company"": ""Avisen Legal, P.A.Larry Fox is an accomplished business lawyer with over 20 years of experience putting together deals and acting as a trusted adviser to his clients. He has represented a broad range of companies from startups to Fortune 500’s. Larry works on a wide variety of matters including complex...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/f3/5912522/avatar.jpg?7ed""}, {""name"": ""avatar for David Peteler"", ""role"": """", ""company"": ""Avisen Legal, P.A.For over 30 years, David Peteler has helped a wide range of clients achieve their business goals. David has worked with companies ranging from Silicon Valley tech start-ups to local Minnesota businesses to Fortune 500 companies.Through his expertise in corporate financing, gained from over 200 private placements and several public offerings, David is adept at helping clients plan, negotiate and close successful financings. Through his long experience with mergers and acquisitions, joint ventures, divestitures...Read More →"", ""avatar_url"": ""//avatars.sched.co/2/fc/5991856/avatar.jpg?916""}]",,
2018,Optimizing Product / Service Configuration with Systematic Innovation,https://tcsw18.sched.com/event/G7Bd/optimizing-product-service-configuration-with-systematic-innovation,,,,avatar for Innovation Radiation (Host); avatar for Arun Batchu; avatar for David Quimby,"[{""name"": ""avatar for Innovation Radiation (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/7/0f/6078091/avatar.jpg?c3e""}, {""name"": ""avatar for Arun Batchu"", ""role"": """", ""company"": ""Innovation RadiationI am an experienced software architect. I am currently a vice president of engineering in the Advanced Technology Collaborative at Optum Technology, where I direct the incubation of emerging technologies to solve wicked problems in health care. I was previously the global e-commerce...Read More →"", ""avatar_url"": ""//avatars.sched.co/3/a2/5914806/avatar.jpg?e68""}, {""name"": ""avatar for David Quimby"", ""role"": """", ""company"": ""Innovation RadiationI am a mathematical economist and systems analyst. I have rotated through various cycles at the extremes of large enterprise and small enterprise as a technology executive and a software entrepreneur. My expertise includes knowledge management, technological forecasting, and systematic...Read More →"", ""avatar_url"": ""//avatars.sched.co/f/3a/5912817/avatar.jpg?eed""}]",,
2018,Play the Odds: The Future and Impact of Sports Betting,https://tcsw18.sched.com/event/G7B6/play-the-odds-the-future-and-impact-of-sports-betting,,,,avatar for MentorMate (Host); avatar for Paul Charchian; avatar for Daren Cotter; avatar for Teague Orgeman; avatar for Matt Otterstatter; avatar for Michael Rand; avatar for Alex Ryan,"[{""name"": ""avatar for MentorMate (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/8/fe/6078328/avatar.jpg?a1f""}, {""name"": ""avatar for Paul Charchian"", ""role"": """", ""company"": ""League Safe"", ""avatar_url"": ""//avatars.sched.co/2/dd/6018706/avatar.jpg?4a4""}, {""name"": ""avatar for Daren Cotter"", ""role"": """", ""company"": ""Inbox Dollars"", ""avatar_url"": ""//avatars.sched.co/9/d6/6018712/avatar.jpg?11b""}, {""name"": ""avatar for Teague Orgeman"", ""role"": """", ""company"": ""Starting 11"", ""avatar_url"": ""//avatars.sched.co/0/0f/5912795/avatar.jpg?a48""}, {""name"": ""avatar for Matt Otterstatter"", ""role"": """", ""company"": ""Hydra FPV"", ""avatar_url"": ""//avatars.sched.co/b/fb/6326842/avatar.jpg?a8b""}, {""name"": ""avatar for Michael Rand"", ""role"": """", ""company"": ""Star Tribune"", ""avatar_url"": ""//avatars.sched.co/8/b4/6018718/avatar.jpg?f97""}, {""name"": ""avatar for Alex Ryan"", ""role"": """", ""company"": ""Starting 11"", ""avatar_url"": ""//avatars.sched.co/9/2e/6018595/avatar.jpg?40d""}]",,
